t	kmh
34.5380	
34.5547	
34.5714	
34.5880	
34.6047	
34.6214	
34.6380	
34.6547	
34.6714	
34.6880	
34.7047	
34.7214	
34.7380	
34.7547	
34.7714	
34.7880	
34.8047	160
34.8214	
34.8380	
34.8547	
34.8714	
34.8880	
34.9047	
34.9214	
34.9380	
34.9547	
34.9714	
34.9880	
35.0047	
35.0214	
35.0380	
35.0547	
35.0714	
35.0880	
35.1047	
35.1214	
35.1380	
35.1547	
35.1714	
35.1880	
35.2047	
35.2214	
35.2380	
35.2547	
35.2714	
35.2880	
35.3047	
35.3214	
35.3380	
35.3547	
35.3714	
35.3880	
35.4047	
35.4214	
35.4380	
35.4547	
35.4714	
35.4880	
35.5047	
35.5214	99
35.5380	99
35.5547	94
35.5714	94
35.5880	
35.6047	
35.6214	
35.6380	
35.6547	97
35.6714	
35.6880	
35.7047	
35.7214	161
35.7380	161
35.7547	162
35.7714	163
35.7880	163
35.8047	164
35.8214	164
35.8380	165
35.8547	166
35.8714	165
35.8880	164
35.9047	165
35.9214	165
35.9380	165
35.9547	166
35.9714	166
35.9880	167
36.0047	168
36.0214	167
36.0380	167
36.0547	168
36.0714	168
36.0880	168
36.1047	168
36.1214	168
36.1380	168
36.1547	169
36.1714	169
36.1880	169
36.2047	
36.2214	116
36.2380	116
36.2547	111
36.2714	111
36.2880	111
36.3047	111
36.3214	111
36.3380	111
36.3547	111
36.3714	111
36.3880	111
36.4047	111
36.4214	111
36.4380	111
36.4547	111
36.4714	111
36.4880	111
36.5047	111
36.5214	111
36.5380	111
36.5547	112
36.5714	112
36.5880	112
36.6047	112
36.6214	112
36.6380	113
36.6547	113
36.6714	113
36.6880	111
36.7047	111
36.7214	111
36.7380	116
36.7547	116
36.7714	116
36.7880	116
36.8047	116
36.8214	116
36.8380	115
36.8547	115
36.8714	114
36.8880	114
36.9047	114
36.9214	115
36.9380	
36.9547	116
36.9714	
36.9880	
37.0047	
37.0214	
37.0380	
37.0547	
37.0714	120
37.0880	121
37.1047	122
37.1214	122
37.1380	123
37.1547	
37.1714	124
37.1880	125
37.2047	125
37.2214	126
37.2380	127
37.2547	127
37.2714	128
37.2880	129
37.3047	129
37.3214	130
37.3380	130
37.3547	131
37.3714	132
37.3880	133
37.4047	133
37.4214	135
37.4380	136
37.4547	137
37.4714	141
37.4880	145
37.5047	148
37.5214	153
37.5380	156
37.5547	161
37.5714	164
37.5880	168
37.6047	171
37.6214	174
37.6380	
37.6547	
37.6714	
37.6880	188
37.7047	181
37.7214	
37.7380	
37.7547	209
37.7714	209
37.7880	207
37.8047	210
37.8214	212
37.8380	215
37.8547	218
37.8714	220
37.8880	229
37.9047	225
37.9214	
37.9380	
37.9547	
37.9714	235
37.9880	
38.0047	240
38.0214	242
38.0380	249
38.0547	
38.0714	249
38.0880	250
38.1047	252
38.1214	254
38.1380	
38.1547	
38.1714	
38.1880	
38.2047	289
38.2214	289
38.2380	270
38.2547	273
38.2714	276
38.2880	278
38.3047	281
38.3214	289
38.3380	280
38.3547	289
38.3714	290
38.3880	299
38.4047	299
38.4214	299
38.4380	
38.4547	309
38.4714	
38.4880	307
38.5047	309
38.5214	309
38.5380	309
38.5547	309
38.5714	309
38.5880	309
38.6047	309
38.6214	309
38.6380	309
38.6547	309
38.6714	309
38.6880	307
38.7047	307
38.7214	307
38.7380	307
38.7547	307
38.7714	307
38.7880	307
38.8047	307
38.8214	307
38.8380	307
38.8547	307
38.8714	307
38.8880	307
38.9047	307
38.9214	307
38.9380	309
38.9547	309
38.9714	309
38.9880	309
39.0047	309
39.0214	309
39.0380	309
39.0547	309
39.0714	309
39.0880	309
39.1047	309
39.1214	309
39.1380	309
39.1547	309
39.1714	309
39.1880	309
39.2047	309
39.2214	309
39.2380	309
39.2547	310
39.2714	310
39.2880	310
39.3047	310
39.3214	310
39.3380	311
39.3547	311
39.3714	309
39.3880	309
39.4047	309
39.4214	302
39.4380	
39.4547	
39.4714	300
39.4880	299
39.5047	299
39.5214	299
39.5380	299
39.5547	297
39.5714	297
39.5880	299
39.6047	299
39.6214	299
39.6380	299
39.6547	299
39.6714	299
39.6880	299
39.7047	299
39.7214	299
39.7380	299
39.7547	299
39.7714	299
39.7880	299
39.8047	299
39.8214	299
39.8380	299
39.8547	299
39.8714	299
39.8880	299
39.9047	299
39.9214	300
39.9380	300
39.9547	300
39.9714	
39.9880	289
40.0047	
40.0214	251
40.0380	251
40.0547	250
40.0714	250
40.0880	250
40.1047	250
40.1214	249
40.1380	249
40.1547	249
40.1714	249
40.1880	249
40.2047	249
40.2214	249
40.2380	249
40.2547	249
40.2714	247
40.2880	247
40.3047	247
40.3214	247
40.3380	247
40.3547	247
40.3714	247
40.3880	247
40.4047	249
40.4214	249
40.4380	249
40.4547	249
40.4714	249
40.4880	249
40.5047	249
40.5214	249
40.5380	249
40.5547	249
40.5714	249
40.5880	249
40.6047	249
40.6214	249
40.6380	249
40.6547	
40.6714	249
40.6880	249
40.7047	249
40.7214	249
40.7380	247
40.7547	247
40.7714	247
40.7880	247
40.8047	247
40.8214	247
40.8380	247
40.8547	242
40.8714	
40.8880	
40.9047	
40.9214	
40.9380	
40.9547	183
40.9714	189
40.9880	189
41.0047	189
41.0214	180
41.0380	180
41.0547	180
41.0714	180
41.0880	180
41.1047	189
41.1214	186
41.1380	182
41.1547	180
41.1714	178
41.1880	177
41.2047	176
41.2214	175
41.2380	174
41.2547	174
41.2714	173
41.2880	172
41.3047	171
41.3214	176
41.3380	169
41.3547	168
41.3714	168
41.3880	167
41.4047	166
41.4214	166
41.4380	166
41.4547	165
41.4714	165
41.4880	165
41.5047	165
41.5214	165
41.5380	164
41.5547	164
41.5714	164
41.5880	164
41.6047	164
41.6214	164
41.6380	164
41.6547	164
41.6714	164
41.6880	164
41.7047	164
41.7214	164
41.7380	164
41.7547	164
41.7714	164
41.7880	164
41.8047	164
41.8214	164
41.8380	164
41.8547	164
41.8714	164
41.8880	164
41.9047	164
41.9214	165
41.9380	166
41.9547	166
41.9714	167
41.9880	168
42.0047	168
42.0214	169
42.0380	169
42.0547	176
42.0714	171
42.0880	171
42.1047	172
42.1214	173
42.1380	174
42.1547	174
42.1714	175
42.1880	175
42.2047	176
42.2214	177
42.2380	177
42.2547	178
42.2714	178
42.2880	178
42.3047	178
42.3214	178
42.3380	178
42.3547	178
42.3714	178
42.3880	178
42.4047	178
42.4214	178
42.4380	178
42.4547	178
42.4714	178
42.4880	178
42.5047	178
42.5214	
42.5380	
42.5547	
42.5714	180
42.5880	180
42.6047	180
42.6214	180
42.6380	180
42.6547	180
42.6714	180
42.6880	180
42.7047	180
42.7214	178
42.7380	178
42.7547	178
42.7714	178
42.7880	178
42.8047	178
42.8214	178
42.8380	178
42.8547	178
42.8714	178
42.8880	
42.9047	178
42.9214	178
42.9380	180
42.9547	180
42.9714	178
42.9880	178
43.0047	178
43.0214	178
43.0380	178
43.0547	177
43.0714	176
43.0880	176
43.1047	175
43.1214	175
43.1380	175
43.1547	174
43.1714	174
43.1880	173
43.2047	173
43.2214	173
43.2380	172
43.2547	172
43.2714	171
43.2880	171
43.3047	171
43.3214	171
43.3380	176
43.3547	176
43.3714	176
43.3880	169
43.4047	169
43.4214	169
43.4380	169
43.4547	169
43.4714	168
43.4880	168
43.5047	168
43.5214	168
43.5380	168
43.5547	167
43.5714	167
43.5880	167
43.6047	167
43.6214	167
43.6380	167
43.6547	167
43.6714	167
43.6880	167
43.7047	167
43.7214	167
43.7380	167
43.7547	167
43.7714	167
43.7880	167
43.8047	167
43.8214	167
43.8380	168
43.8547	168
43.8714	168
43.8880	168
43.9047	168
43.9214	168
43.9380	169
43.9547	169
43.9714	176
43.9880	171
44.0047	171
44.0214	172
44.0380	172
44.0547	173
44.0714	174
44.0880	175
44.1047	176
44.1214	177
44.1380	178
44.1547	178
44.1714	
44.1880	180
44.2047	
44.2214	
44.2380	
44.2547	
44.2714	
44.2880	
44.3047	
44.3214	
44.3380	
44.3547	
44.3714	
44.3880	
44.4047	
44.4214	
44.4380	
44.4547	
44.4714	182
44.4880	183
44.5047	184
44.5214	184
44.5380	185
44.5547	185
44.5714	186
44.5880	186
44.6047	187
44.6214	187
44.6380	188
44.6547	189
44.6714	189
44.6880	200
44.7047	200
44.7214	
44.7380	
44.7547	
44.7714	202
44.7880	202
44.8047	209
44.8214	209
44.8380	209
44.8547	204
44.8714	204
44.8880	204
44.9047	209
44.9214	209
44.9380	209
44.9547	209
44.9714	209
44.9880	209
45.0047	207
45.0214	207
45.0380	207
45.0547	209
45.0714	209
45.0880	209
45.1047	209
45.1214	210
45.1380	210
45.1547	210
45.1714	211
45.1880	211
45.2047	212
45.2214	212
45.2380	213
45.2547	213
45.2714	214
45.2880	214
45.3047	215
45.3214	215
45.3380	216
45.3547	216
45.3714	217
45.3880	217
45.4047	218
45.4214	218
45.4380	219
45.4547	220
45.4714	220
45.4880	221
45.5047	221
45.5214	221
45.5380	222
45.5547	222
45.5714	222
45.5880	222
45.6047	222
45.6214	222
45.6380	222
45.6547	222
45.6714	221
45.6880	221
45.7047	221
45.7214	220
45.7380	219
45.7547	219
45.7714	218
45.7880	218
45.8047	218
45.8214	217
45.8380	217
45.8547	217
45.8714	217
45.8880	216
45.9047	216
45.9214	216
45.9380	216
45.9547	216
45.9714	216
45.9880	215
46.0047	215
46.0214	214
46.0380	214
46.0547	213
46.0714	213
46.0880	213
46.1047	212
46.1214	212
46.1380	211
46.1547	211
46.1714	210
46.1880	210
46.2047	210
46.2214	209
46.2380	209
46.2547	209
46.2714	209
46.2880	209
46.3047	207
46.3214	207
46.3380	207
46.3547	207
46.3714	209
46.3880	209
46.4047	209
46.4214	209
46.4380	209
46.4547	209
46.4714	209
46.4880	209
46.5047	209
46.5214	204
46.5380	204
46.5547	204
46.5714	204
46.5880	204
46.6047	204
46.6214	209
46.6380	209
46.6547	209
46.6714	209
46.6880	209
46.7047	209
46.7214	209
46.7380	209
46.7547	209
46.7714	209
46.7880	209
46.8047	209
46.8214	209
46.8380	209
46.8547	209
46.8714	209
46.8880	209
46.9047	209
46.9214	209
46.9380	209
46.9547	209
46.9714	204
46.9880	
47.0047	
47.0214	204
47.0380	209
47.0547	209
47.0714	202
47.0880	202
47.1047	
47.1214	
47.1380	207
47.1547	202
47.1714	202
47.1880	202
47.2047	202
47.2214	202
47.2380	202
47.2547	202
47.2714	202
47.2880	202
47.3047	202
47.3214	207
47.3380	207
47.3547	207
47.3714	
47.3880	204
47.4047	
47.4214	207
47.4380	207
47.4547	207
47.4714	204
47.4880	207
47.5047	207
47.5214	207
47.5380	
47.5547	
47.5714	207
47.5880	207
47.6047	
47.6214	207
47.6380	207
47.6547	207
47.6714	207
47.6880	
47.7047	207
47.7214	
47.7380	
47.7547	207
47.7714	
47.7880	207
47.8047	
47.8214	207
47.8380	207
47.8547	
47.8714	
47.8880	
47.9047	
47.9214	204
47.9380	
47.9547	
47.9714	204
47.9880	207
48.0047	
48.0214	
48.0380	207
48.0547	
48.0714	207
48.0880	
48.1047	
48.1214	
48.1380	204
48.1547	204
48.1714	207
48.1880	
48.2047	
48.2214	207
48.2380	207
48.2547	207
48.2714	207
48.2880	
48.3047	
48.3214	
48.3380	
48.3547	
48.3714	
48.3880	204
48.4047	207
48.4214	207
48.4380	
48.4547	207
48.4714	
48.4880	
48.5047	
48.5214	
48.5380	
48.5547	
48.5714	
48.5880	
48.6047	
48.6214	
48.6380	
48.6547	
48.6714	
48.6880	
48.7047	
48.7214	
48.7380	
48.7547	
48.7714	207
48.7880	207
48.8047	204
48.8214	204
48.8380	207
48.8547	207
48.8714	207
48.8880	207
48.9047	207
48.9214	204
48.9380	
48.9547	204
48.9714	204
48.9880	204
49.0047	204
49.0214	
49.0380	
49.0547	207
49.0714	
49.0880	
49.1047	
49.1214	
49.1380	204
49.1547	
49.1714	207
49.1880	207
49.2047	207
49.2214	
49.2380	
49.2547	
49.2714	207
49.2880	207
49.3047	207
49.3214	207
49.3380	207
49.3547	207
49.3714	
49.3880	
49.4047	207
49.4214	207
49.4380	207
49.4547	207
49.4714	207
49.4880	207
49.5047	
49.5214	207
49.5380	207
49.5547	207
49.5714	202
49.5880	202
49.6047	202
49.6214	202
49.6380	202
49.6547	202
49.6714	202
49.6880	209
49.7047	209
49.7214	209
49.7380	209
49.7547	209
49.7714	209
49.7880	204
49.8047	204
49.8214	204
49.8380	204
49.8547	204
49.8714	204
49.8880	209
49.9047	209
49.9214	209
49.9380	209
49.9547	209
49.9714	209
49.9880	209
50.0047	
50.0214	
50.0380	209
50.0547	
50.0714	209
50.0880	209
50.1047	209
50.1214	209
50.1380	209
50.1547	209
50.1714	209
50.1880	207
50.2047	207
50.2214	207
50.2380	209
50.2547	209
50.2714	209
50.2880	209
50.3047	209
50.3214	210
50.3380	210
50.3547	211
50.3714	211
50.3880	211
50.4047	212
50.4214	212
50.4380	213
50.4547	213
50.4714	213
50.4880	214
50.5047	214
50.5214	214
50.5380	215
50.5547	215
50.5714	215
50.5880	215
50.6047	213
50.6214	209
50.6380	200
50.6547	182
50.6714	187
50.6880	184
50.7047	183
50.7214	183
50.7380	182
50.7547	182
50.7714	181
50.7880	180
50.8047	180
50.8214	178
50.8380	178
50.8547	176
50.8714	175
50.8880	175
50.9047	173
50.9214	173
50.9380	171
50.9547	171
50.9714	176
50.9880	168
51.0047	168
51.0214	166
51.0380	166
51.0547	165
51.0714	164
51.0880	163
51.1047	162
51.1214	161
51.1380	160
51.1547	159
51.1714	159
51.1880	157
51.2047	157
51.2214	156
51.2380	155
51.2547	155
51.2714	154
51.2880	153
51.3047	152
51.3214	151
51.3380	151
51.3547	150
51.3714	149
51.3880	149
51.4047	148
51.4214	147
51.4380	146
51.4547	146
51.4714	145
51.4880	144
51.5047	144
51.5214	143
51.5380	143
51.5547	142
51.5714	142
51.5880	141
51.6047	141
51.6214	140
51.6380	140
51.6547	139
51.6714	139
51.6880	138
51.7047	138
51.7214	137
51.7380	137
51.7547	137
51.7714	136
51.7880	136
51.8047	136
51.8214	135
51.8380	135
51.8547	134
51.8714	134
51.8880	134
51.9047	134
51.9214	134
51.9380	133
51.9547	133
51.9714	133
51.9880	133
52.0047	133
52.0214	133
52.0380	132
52.0547	132
52.0714	132
52.0880	132
52.1047	132
52.1214	132
52.1380	132
52.1547	132
52.1714	132
52.1880	132
52.2047	132
52.2214	133
52.2380	133
52.2547	133
52.2714	133
52.2880	133
52.3047	133
52.3214	133
52.3380	134
52.3547	134
52.3714	134
52.3880	134
52.4047	135
52.4214	135
52.4380	135
52.4547	135
52.4714	136
52.4880	136
52.5047	136
52.5214	137
52.5380	137
52.5547	137
52.5714	138
52.5880	138
52.6047	139
52.6214	139
52.6380	140
52.6547	140
52.6714	141
52.6880	141
52.7047	142
52.7214	142
52.7380	143
52.7547	143
52.7714	144
52.7880	145
52.8047	145
52.8214	146
52.8380	146
52.8547	147
52.8714	148
52.8880	148
52.9047	149
52.9214	148
52.9380	147
52.9547	147
52.9714	142
52.9880	137
53.0047	136
53.0214	136
53.0380	137
53.0547	137
53.0714	137
53.0880	137
53.1047	138
53.1214	138
53.1380	
53.1547	
53.1714	139
53.1880	140
53.2047	
53.2214	140
53.2380	141
53.2547	141
53.2714	142
53.2880	142
53.3047	143
53.3214	143
53.3380	144
53.3547	144
53.3714	145
53.3880	145
53.4047	146
53.4214	147
53.4380	147
53.4547	148
53.4714	148
53.4880	149
53.5047	150
53.5214	150
53.5380	151
53.5547	152
53.5714	152
53.5880	153
53.6047	154
53.6214	155
53.6380	155
53.6547	156
53.6714	157
53.6880	158
53.7047	158
53.7214	159
53.7380	160
53.7547	161
53.7714	162
53.7880	162
53.8047	163
53.8214	164
53.8380	165
53.8547	166
53.8714	166
53.8880	167
53.9047	168
53.9214	
53.9380	
53.9547	
53.9714	171
53.9880	173
54.0047	173
54.0214	175
54.0380	175
54.0547	176
54.0714	164
54.0880	156
54.1047	145
54.1214	141
54.1380	138
54.1547	135
54.1714	136
54.1880	136
54.2047	136
54.2214	136
54.2380	136
54.2547	136
54.2714	137
54.2880	137
54.3047	137
54.3214	138
54.3380	138
54.3547	138
54.3714	138
54.3880	138
54.4047	139
54.4214	139
54.4380	139
54.4547	139
54.4714	139
54.4880	139
54.5047	139
54.5214	139
54.5380	139
54.5547	139
54.5714	139
54.5880	139
54.6047	139
54.6214	139
54.6380	139
54.6547	139
54.6714	139
54.6880	139
54.7047	139
54.7214	139
54.7380	139
54.7547	139
54.7714	139
54.7880	139
54.8047	139
54.8214	139
54.8380	139
54.8547	139
54.8714	140
54.8880	140
54.9047	141
54.9214	142
54.9380	142
54.9547	143
54.9714	143
54.9880	
55.0047	145
55.0214	146
55.0380	146
55.0547	147
55.0714	148
55.0880	148
55.1047	149
55.1214	150
55.1380	150
55.1547	151
55.1714	151
55.1880	152
55.2047	153
55.2214	153
55.2380	154
55.2547	155
55.2714	155
55.2880	156
55.3047	156
55.3214	157
55.3380	158
55.3547	159
55.3714	
55.3880	
55.4047	
55.4214	161
55.4380	162
55.4547	162
55.4714	162
55.4880	
55.5047	
55.5214	
55.5380	
55.5547	
55.5714	162
55.5880	162
55.6047	
55.6214	162
55.6380	
55.6547	163
55.6714	163
55.6880	164
55.7047	165
55.7214	165
55.7380	166
55.7547	166
55.7714	167
55.7880	167
55.8047	168
55.8214	169
55.8380	169
55.8547	176
55.8714	176
55.8880	176
55.9047	171
55.9214	171
55.9380	171
55.9547	171
55.9714	171
55.9880	171
56.0047	171
56.0214	171
56.0380	171
56.0547	171
56.0714	171
56.0880	171
56.1047	171
56.1214	171
56.1380	172
56.1547	172
56.1714	172
56.1880	172
56.2047	172
56.2214	173
56.2380	173
56.2547	173
56.2714	173
56.2880	174
56.3047	174
56.3214	174
56.3380	174
56.3547	175
56.3714	175
56.3880	175
56.4047	176
56.4214	
56.4380	
56.4547	144
56.4714	143
56.4880	142
56.5047	142
56.5214	141
56.5380	140
56.5547	140
56.5714	139
56.5880	138
56.6047	137
56.6214	137
56.6380	136
56.6547	135
56.6714	135
56.6880	134
56.7047	134
56.7214	133
56.7380	132
56.7547	132
56.7714	131
56.7880	131
56.8047	131
56.8214	130
56.8380	130
56.8547	129
56.8714	129
56.8880	128
56.9047	128
56.9214	127
56.9380	127
56.9547	127
56.9714	126
56.9880	126
57.0047	126
57.0214	125
57.0380	125
57.0547	125
57.0714	125
57.0880	124
57.1047	124
57.1214	124
57.1380	124
57.1547	124
57.1714	124
57.1880	124
57.2047	123
57.2214	123
57.2380	123
57.2547	123
57.2714	123
57.2880	123
57.3047	123
57.3214	123
57.3380	123
57.3547	123
57.3714	124
57.3880	124
57.4047	124
57.4214	124
57.4380	124
57.4547	124
57.4714	124
57.4880	125
57.5047	125
57.5214	125
57.5380	126
57.5547	126
57.5714	126
57.5880	126
57.6047	127
57.6214	127
57.6380	127
57.6547	128
57.6714	128
57.6880	129
57.7047	129
57.7214	129
57.7380	130
57.7547	130
57.7714	131
57.7880	132
57.8047	132
57.8214	133
57.8380	133
57.8547	133
57.8714	134
57.8880	135
57.9047	135
57.9214	136
57.9380	136
57.9547	137
57.9714	138
57.9880	139
58.0047	139
58.0214	140
58.0380	141
58.0547	141
58.0714	142
58.0880	143
58.1047	
58.1214	
58.1380	
58.1547	
58.1714	
58.1880	
58.2047	
58.2214	
58.2380	
58.2547	
58.2714	
58.2880	168
58.3047	167
58.3214	167
58.3380	166
58.3547	166
58.3714	165
58.3880	164
58.4047	163
58.4214	162
58.4380	161
58.4547	161
58.4714	161
58.4880	161
58.5047	161
58.5214	160
58.5380	160
58.5547	160
58.5714	160
58.5880	
58.6047	
58.6214	160
58.6380	160
58.6547	161
58.6714	162
58.6880	163
58.7047	164
58.7214	165
58.7380	166
58.7547	166
58.7714	167
58.7880	168
58.8047	
58.8214	
58.8380	
58.8547	
58.8714	
58.8880	
58.9047	167
58.9214	
58.9380	
58.9547	168
58.9714	168
58.9880	169
59.0047	169
59.0214	
59.0380	
59.0547	116
59.0714	111
59.0880	111
59.1047	112
59.1214	112
59.1380	112
59.1547	112
59.1714	112
59.1880	112
59.2047	112
59.2214	112
59.2380	112
59.2547	112
59.2714	112
59.2880	112
59.3047	112
59.3214	112
59.3380	112
59.3547	112
59.3714	112
59.3880	113
59.4047	113
59.4214	114
59.4380	114
59.4547	116
59.4714	116
59.4880	116
59.5047	
59.5214	
59.5380	118
59.5547	118
59.5714	113
59.5880	120
59.6047	120
59.6214	121
59.6380	122
59.6547	123
59.6714	123
59.6880	124
59.7047	125
59.7214	125
59.7380	126
59.7547	127
59.7714	127
59.7880	128
59.8047	129
59.8214	130
59.8380	131
59.8547	131
59.8714	132
59.8880	133
59.9047	134
59.9214	135
59.9380	135
59.9547	136
59.9714	137
59.9880	138
60.0047	139
60.0214	140
60.0380	141
60.0547	141
60.0714	143
60.0880	143
60.1047	144
60.1214	145
60.1380	146
60.1547	147
60.1714	148
60.1880	149
60.2047	150
60.2214	151
60.2380	152
60.2547	152
60.2714	153
60.2880	154
60.3047	155
60.3214	156
60.3380	157
60.3547	157
60.3714	158
60.3880	159
60.4047	160
60.4214	161
60.4380	161
60.4547	162
60.4714	162
60.4880	162
60.5047	162
60.5214	162
60.5380	162
60.5547	162
60.5714	162
60.5880	162
60.6047	162
60.6214	162
60.6380	162
60.6547	163
60.6714	163
60.6880	163
60.7047	164
60.7214	164
60.7380	164
60.7547	164
60.7714	163
60.7880	163
60.8047	162
60.8214	162
60.8380	163
60.8547	163
60.8714	163
60.8880	164
60.9047	164
60.9214	164
60.9380	164
60.9547	165
60.9714	165
60.9880	165
61.0047	165
61.0214	
61.0380	166
61.0547	166
61.0714	166
61.0880	166
61.1047	166
61.1214	164
61.1380	163
61.1547	162
61.1714	162
61.1880	161
61.2047	161
61.2214	161
61.2380	
61.2547	162
61.2714	
61.2880	162
61.3047	162
61.3214	162
61.3380	162
61.3547	162
61.3714	162
61.3880	162
61.4047	162
61.4214	162
61.4380	162
61.4547	162
61.4714	162
61.4880	162
61.5047	162
61.5214	162
61.5380	162
61.5547	162
61.5714	162
61.5880	162
61.6047	162
61.6214	162
61.6380	162
61.6547	162
61.6714	162
61.6880	162
61.7047	162
61.7214	162
61.7380	162
61.7547	162
61.7714	162
61.7880	162
61.8047	162
61.8214	162
61.8380	162
61.8547	161
61.8714	161
61.8880	161
61.9047	161
61.9214	161
61.9380	161
61.9547	161
61.9714	161
61.9880	161
62.0047	161
62.0214	160
62.0380	160
62.0547	160
62.0714	160
62.0880	160
62.1047	160
62.1214	160
62.1380	159
62.1547	159
62.1714	159
62.1880	159
62.2047	159
62.2214	159
62.2380	158
62.2547	158
62.2714	158
62.2880	158
62.3047	158
62.3214	158
62.3380	157
62.3547	157
62.3714	157
62.3880	157
62.4047	157
62.4214	157
62.4380	156
62.4547	156
62.4714	156
62.4880	156
62.5047	156
62.5214	155
62.5380	155
62.5547	155
62.5714	155
62.5880	155
62.6047	155
62.6214	155
62.6380	154
62.6547	154
62.6714	154
62.6880	154
62.7047	154
62.7214	154
62.7380	154
62.7547	153
62.7714	153
62.7880	153
62.8047	153
62.8214	153
62.8380	153
62.8547	152
62.8714	152
62.8880	152
62.9047	152
62.9214	152
62.9380	152
62.9547	151
62.9714	151
62.9880	151
63.0047	151
63.0214	151
63.0380	151
63.0547	151
63.0714	
63.0880	150
63.1047	
63.1214	149
63.1380	148
63.1547	
63.1714	
63.1880	
63.2047	
63.2214	
63.2380	
63.2547	
63.2714	
63.2880	
63.3047	142
63.3214	142
63.3380	141
63.3547	140
63.3714	140
63.3880	140
63.4047	139
63.4214	138
63.4380	137
63.4547	136
63.4714	135
63.4880	134
63.5047	133
63.5214	132
63.5380	131
63.5547	130
63.5714	128
63.5880	128
63.6047	126
63.6214	126
63.6380	125
63.6547	124
63.6714	123
63.6880	122
63.7047	121
63.7214	121
63.7380	120
63.7547	116
63.7714	118
63.7880	118
63.8047	
63.8214	116
63.8380	116
63.8547	115
63.8714	116
63.8880	116
63.9047	116
63.9214	116
63.9380	116
63.9547	116
63.9714	116
63.9880	116
64.0047	
64.0214	
64.0380	
64.0547	
64.0714	
64.0880	
64.1047	
64.1214	
64.1380	
64.1547	
64.1714	
64.1880	
64.2047	
64.2214	
64.2380	
64.2547	
64.2714	
64.2880	
64.3047	
64.3214	
64.3380	
64.3547	
64.3714	
64.3880	
64.4047	
64.4214	
64.4380	
64.4547	
64.4714	
64.4880	
64.5047	
64.5214	
64.5380	
64.5547	
64.5714	
64.5880	
64.6047	
64.6214	
64.6380	
64.6547	
64.6714	
64.6880	
64.7047	
64.7214	
64.7380	
64.7547	
64.7714	
64.7880	
64.8047	
64.8214	
64.8380	
64.8547	
64.8714	
64.8880	
64.9047	
64.9214	
64.9380	
64.9547	
64.9714	
64.9880	
65.0047	
65.0214	
65.0380	
65.0547	
65.0714	
65.0880	
65.1047	
65.1214	
65.1380	
65.1547	
65.1714	
65.1880	
65.2047	
65.2214	
65.2380	
65.2547	
65.2714	172
65.2880	173
65.3047	174
65.3214	175
65.3380	
65.3547	
65.3714	178
65.3880	178
65.4047	174
65.4214	151
65.4380	
65.4547	
65.4714	
65.4880	169
65.5047	169
65.5214	169
65.5380	168
65.5547	168
65.5714	168
65.5880	168
65.6047	168
65.6214	168
65.6380	167
65.6547	
65.6714	167
65.6880	167
65.7047	167
65.7214	167
65.7380	168
65.7547	168
65.7714	168
65.7880	169
65.8047	
65.8214	116
65.8380	111
65.8547	111
65.8714	112
65.8880	112
65.9047	113
65.9214	113
65.9380	114
65.9547	115
65.9714	115
65.9880	116
66.0047	
66.0214	
66.0380	118
66.0547	118
66.0714	113
66.0880	113
66.1047	120
66.1214	120
66.1380	121
66.1547	121
66.1714	122
66.1880	122
66.2047	123
66.2214	123
66.2380	124
66.2547	124
66.2714	125
66.2880	125
66.3047	126
66.3214	126
66.3380	127
66.3547	127
66.3714	128
66.3880	129
66.4047	129
66.4214	130
66.4380	130
66.4547	131
66.4714	132
66.4880	132
66.5047	133
66.5214	133
66.5380	134
66.5547	135
66.5714	135
66.5880	136
66.6047	137
66.6214	137
66.6380	137
66.6547	137
66.6714	138
66.6880	138
66.7047	138
66.7214	138
66.7380	137
66.7547	137
66.7714	137
66.7880	137
66.8047	137
66.8214	137
66.8380	137
66.8547	136
66.8714	136
66.8880	136
66.9047	135
66.9214	135
66.9380	135
66.9547	135
66.9714	135
66.9880	135
67.0047	134
67.0214	134
67.0380	134
67.0547	134
67.0714	134
67.0880	134
67.1047	133
67.1214	133
67.1380	133
67.1547	133
67.1714	133
67.1880	133
67.2047	132
67.2214	132
67.2380	132
67.2547	132
67.2714	132
67.2880	131
67.3047	131
67.3214	131
67.3380	131
67.3547	131
67.3714	130
67.3880	130
67.4047	130
67.4214	130
67.4380	130
67.4547	130
67.4714	129
67.4880	129
67.5047	129
67.5214	129
67.5380	128
67.5547	128
67.5714	128
67.5880	127
67.6047	126
67.6214	126
67.6380	125
67.6547	125
67.6714	124
67.6880	124
67.7047	124
67.7214	123
67.7380	123
67.7547	123
67.7714	122
67.7880	122
67.8047	122
67.8214	121
67.8380	121
67.8547	121
67.8714	121
67.8880	121
67.9047	120
67.9214	120
67.9380	120
67.9547	120
67.9714	120
67.9880	120
68.0047	120
68.0214	120
68.0380	120
68.0547	120
68.0714	120
68.0880	120
68.1047	120
68.1214	
68.1380	167
68.1547	163
68.1714	163
68.1880	163
68.2047	162
68.2214	161
68.2380	
68.2547	
68.2714	
68.2880	
68.3047	
68.3214	
68.3380	
68.3547	
68.3714	
68.3880	
68.4047	
68.4214	
68.4380	
68.4547	
68.4714	
68.4880	
68.5047	
68.5214	
68.5380	
68.5547	
68.5714	
68.5880	
68.6047	
68.6214	
68.6380	
68.6547	
68.6714	
68.6880	
68.7047	
